"AGE","GEO","UNIT","TIME","SEX","Value","Flag and Footnotes"
"Total","Croatia","Number","2011","Total","4,284,889",""
"Total","Croatia","Number","2011","Males","2,066,335",""
"Total","Croatia","Number","2011","Females","2,218,554",""
"Total","Hrvatska","Number","2011","Total","4,284,889",""
"Total","Hrvatska","Number","2011","Males","2,066,335",""
"Total","Hrvatska","Number","2011","Females","2,218,554",""
"Total","Jadranska Hrvatska","Number","2011","Total","1,411,935",""
"Total","Jadranska Hrvatska","Number","2011","Males","687,610",""
"Total","Jadranska Hrvatska","Number","2011","Females","724,325",""
"Total","Primorsko-goranska zupanija","Number","2011","Total","296,195",""
"Total","Primorsko-goranska zupanija","Number","2011","Males","143,085",""
"Total","Primorsko-goranska zupanija","Number","2011","Females","153,110",""
"Total","Licko-senjska zupanija","Number","2011","Total","50,927",""
"Total","Licko-senjska zupanija","Number","2011","Males","25,347",""
"Total","Licko-senjska zupanija","Number","2011","Females","25,580",""
"Total","Zadarska zupanija","Number","2011","Total","170,017",""
"Total","Zadarska zupanija","Number","2011","Males","83,504",""
"Total","Zadarska zupanija","Number","2011","Females","86,513",""
"Total","Sibensko-kninska zupanija","Number","2011","Total","109,375",""
"Total","Sibensko-kninska zupanija","Number","2011","Males","53,596",""
"Total","Sibensko-kninska zupanija","Number","2011","Females","55,779",""
"Total","Splitsko-dalmatinska zupanija","Number","2011","Total","454,798",""
"Total","Splitsko-dalmatinska zupanija","Number","2011","Males","221,295",""
"Total","Splitsko-dalmatinska zupanija","Number","2011","Females","233,503",""
"Total","Istarska zupanija","Number","2011","Total","208,055",""
"Total","Istarska zupanija","Number","2011","Males","101,162",""
"Total","Istarska zupanija","Number","2011","Females","106,893",""
"Total","Dubrovacko-neretvanska zupanija","Number","2011","Total","122,568",""
"Total","Dubrovacko-neretvanska zupanija","Number","2011","Males","59,621",""
"Total","Dubrovacko-neretvanska zupanija","Number","2011","Females","62,947",""
"Total","Kontinentalna Hrvatska","Number","2011","Total","2,872,954",""
"Total","Kontinentalna Hrvatska","Number","2011","Males","1,378,725",""
"Total","Kontinentalna Hrvatska","Number","2011","Females","1,494,229",""
"Total","Grad Zagreb","Number","2011","Total","790,017",""
"Total","Grad Zagreb","Number","2011","Males","369,339",""
"Total","Grad Zagreb","Number","2011","Females","420,678",""
"Total","Zagrebacka zupanija","Number","2011","Total","317,606",""
"Total","Zagrebacka zupanija","Number","2011","Males","153,850",""
"Total","Zagrebacka zupanija","Number","2011","Females","163,756",""
"Total","Krapinsko-zagorska zupanija","Number","2011","Total","132,892",""
