GEO,AGE,UNIT,TIME,SEX,Value,Flag and Footnotes
Croatia,Total,Number,2011,Total,4284889,
Croatia,Total,Number,2011,Males,2066335,
Croatia,Total,Number,2011,Females,2218554,
Croatia,Less than 1 year,Number,2011,Total,42377,
Croatia,Less than 1 year,Number,2011,Males,21857,
Croatia,Less than 1 year,Number,2011,Females,20520,
Croatia,1 year,Number,2011,Total,44347,
Croatia,1 year,Number,2011,Males,22695,
Croatia,1 year,Number,2011,Females,21652,
Croatia,2 years,Number,2011,Total,43041,
Croatia,2 years,Number,2011,Males,22017,
Croatia,2 years,Number,2011,Females,21024,
Croatia,3 years,Number,2011,Total,42194,
Croatia,3 years,Number,2011,Males,21600,
Croatia,3 years,Number,2011,Females,20594,
Croatia,4 years,Number,2011,Total,40750,
Croatia,4 years,Number,2011,Males,21082,
Croatia,4 years,Number,2011,Females,19668,
Croatia,5 years,Number,2011,Total,41885,
Croatia,5 years,Number,2011,Males,21462,
Croatia,5 years,Number,2011,Females,20423,
Croatia,6 years,Number,2011,Total,41610,
Croatia,6 years,Number,2011,Males,21458,
Croatia,6 years,Number,2011,Females,20152,
Croatia,7 years,Number,2011,Total,39656,
Croatia,7 years,Number,2011,Males,20356,
Croatia,7 years,Number,2011,Females,19300,
Croatia,8 years,Number,2011,Total,39923,
Croatia,8 years,Number,2011,Males,20387,
Croatia,8 years,Number,2011,Females,19536,
Croatia,9 years,Number,2011,Total,41243,
Croatia,9 years,Number,2011,Males,21178,
Croatia,9 years,Number,2011,Females,20065,
Croatia,10 years,Number,2011,Total,43119,
Croatia,10 years,Number,2011,Males,22205,
Croatia,10 years,Number,2011,Females,20914,
Croatia,11 years,Number,2011,Total,45031,
Croatia,11 years,Number,2011,Males,23051,
Croatia,11 years,Number,2011,Females,21980,
Croatia,12 years,Number,2011,Total,46976,
Croatia,12 years,Number,2011,Males,24059,
Croatia,12 years,Number,2011,Females,22917,
Croatia,13 years,Number,2011,Total,49510,
Croatia,13 years,Number,2011,Males,25247,
Croatia,13 years,Number,2011,Females,24263,
Croatia,14 years,Number,2011,Total,50766,
Croatia,14 years,Number,2011,Males,26071,
Croatia,14 years,Number,2011,Females,24695,
Croatia,15 years,Number,2011,Total,49222,
Croatia,15 years,Number,2011,Males,25288,
Croatia,15 years,Number,2011,Females,23934,
Croatia,16 years,Number,2011,Total,48720,
Croatia,16 years,Number,2011,Males,24634,
Croatia,16 years,Number,2011,Females,24086,
Croatia,17 years,Number,2011,Total,47485,
Croatia,17 years,Number,2011,Males,24227,
Croatia,17 years,Number,2011,Females,23258,
Croatia,18 years,Number,2011,Total,47960,
Croatia,18 years,Number,2011,Males,24614,
Croatia,18 years,Number,2011,Females,23346,
Croatia,19 years,Number,2011,Total,50790,
Croatia,19 years,Number,2011,Males,26155,
Croatia,19 years,Number,2011,Females,24635,
Croatia,20 years,Number,2011,Total,50731,
Croatia,20 years,Number,2011,Males,25912,
Croatia,20 years,Number,2011,Females,24819,
Croatia,21 years,Number,2011,Total,50816,
Croatia,21 years,Number,2011,Males,26008,
Croatia,21 years,Number,2011,Females,24808,
Croatia,22 years,Number,2011,Total,52537,
Croatia,22 years,Number,2011,Males,26887,
Croatia,22 years,Number,2011,Females,25650,
Croatia,23 years,Number,2011,Total,53922,
Croatia,23 years,Number,2011,Males,27429,
Croatia,23 years,Number,2011,Females,26493,
Croatia,24 years,Number,2011,Total,53652,
Croatia,24 years,Number,2011,Males,27219,
Croatia,24 years,Number,2011,Females,26433,
Croatia,25 years,Number,2011,Total,55440,
Croatia,25 years,Number,2011,Males,28217,
Croatia,25 years,Number,2011,Females,27223,
Croatia,26 years,Number,2011,Total,58145,
Croatia,26 years,Number,2011,Males,29593,
Croatia,26 years,Number,2011,Females,28552,
Croatia,27 years,Number,2011,Total,58451,
Croatia,27 years,Number,2011,Males,29865,
Croatia,27 years,Number,2011,Females,28586,
Croatia,28 years,Number,2011,Total,58363,
Croatia,28 years,Number,2011,Males,29935,
Croatia,28 years,Number,2011,Females,28428,
Croatia,29 years,Number,2011,Total,58667,
Croatia,29 years,Number,2011,Males,29806,
Croatia,29 years,Number,2011,Females,28861,
Croatia,30 years,Number,2011,Total,59725,
Croatia,30 years,Number,2011,Males,30568,
Croatia,30 years,Number,2011,Females,29157,
Croatia,31 years,Number,2011,Total,59941,
Croatia,31 years,Number,2011,Males,30574,
Croatia,31 years,Number,2011,Females,29367,
Croatia,32 years,Number,2011,Total,59018,
Croatia,32 years,Number,2011,Males,30106,
Croatia,32 years,Number,2011,Females,28912,
Croatia,33 years,Number,2011,Total,58651,
Croatia,33 years,Number,2011,Males,29853,
Croatia,33 years,Number,2011,Females,28798,
Croatia,34 years,Number,2011,Total,57284,
Croatia,34 years,Number,2011,Males,28897,
Croatia,34 years,Number,2011,Females,28387,
Croatia,35 years,Number,2011,Total,57165,
Croatia,35 years,Number,2011,Males,29058,
Croatia,35 years,Number,2011,Females,28107,
Croatia,36 years,Number,2011,Total,57096,
Croatia,36 years,Number,2011,Males,28954,
Croatia,36 years,Number,2011,Females,28142,
Croatia,37 years,Number,2011,Total,56733,
Croatia,37 years,Number,2011,Males,28506,
Croatia,37 years,Number,2011,Females,28227,
Croatia,38 years,Number,2011,Total,56739,
Croatia,38 years,Number,2011,Males,28763,
Croatia,38 years,Number,2011,Females,27976,
Croatia,39 years,Number,2011,Total,57021,
Croatia,39 years,Number,2011,Males,28703,
Croatia,39 years,Number,2011,Females,28318,
Croatia,40 years,Number,2011,Total,54095,
Croatia,40 years,Number,2011,Males,27299,
Croatia,40 years,Number,2011,Females,26796,
Croatia,41 years,Number,2011,Total,55269,
Croatia,41 years,Number,2011,Males,27756,
Croatia,41 years,Number,2011,Females,27513,
Croatia,42 years,Number,2011,Total,56982,
Croatia,42 years,Number,2011,Males,28415,
Croatia,42 years,Number,2011,Females,28567,
Croatia,43 years,Number,2011,Total,59203,
Croatia,43 years,Number,2011,Males,29628,
Croatia,43 years,Number,2011,Females,29575,
Croatia,44 years,Number,2011,Total,61384,
Croatia,44 years,Number,2011,Males,30505,
Croatia,44 years,Number,2011,Females,30879,
Croatia,45 years,Number,2011,Total,62650,
Croatia,45 years,Number,2011,Males,31171,
Croatia,45 years,Number,2011,Females,31479,
Croatia,46 years,Number,2011,Total,59629,
Croatia,46 years,Number,2011,Males,29590,
Croatia,46 years,Number,2011,Females,30039,
Croatia,47 years,Number,2011,Total,60341,
Croatia,47 years,Number,2011,Males,30077,
Croatia,47 years,Number,2011,Females,30264,
Croatia,48 years,Number,2011,Total,61714,
Croatia,48 years,Number,2011,Males,30475,
Croatia,48 years,Number,2011,Females,31239,
Croatia,49 years,Number,2011,Total,63227,
Croatia,49 years,Number,2011,Males,31133,
Croatia,49 years,Number,2011,Females,32094,
Croatia,50 years,Number,2011,Total,63382,
Croatia,50 years,Number,2011,Males,31254,
Croatia,50 years,Number,2011,Females,32128,
Croatia,51 years,Number,2011,Total,64442,
Croatia,51 years,Number,2011,Males,31907,
Croatia,51 years,Number,2011,Females,32535,
Croatia,52 years,Number,2011,Total,64231,
Croatia,52 years,Number,2011,Males,31674,
Croatia,52 years,Number,2011,Females,32557,
Croatia,53 years,Number,2011,Total,63281,
Croatia,53 years,Number,2011,Males,31152,
Croatia,53 years,Number,2011,Females,32129,
Croatia,54 years,Number,2011,Total,65166,
Croatia,54 years,Number,2011,Males,31994,
Croatia,54 years,Number,2011,Females,33172,
Croatia,55 years,Number,2011,Total,65298,
Croatia,55 years,Number,2011,Males,32211,
Croatia,55 years,Number,2011,Females,33087,
Croatia,56 years,Number,2011,Total,66093,
Croatia,56 years,Number,2011,Males,32932,
Croatia,56 years,Number,2011,Females,33161,
Croatia,57 years,Number,2011,Total,61005,
Croatia,57 years,Number,2011,Males,30205,
Croatia,57 years,Number,2011,Females,30800,
Croatia,58 years,Number,2011,Total,63312,
Croatia,58 years,Number,2011,Males,30864,
Croatia,58 years,Number,2011,Females,32448,
Croatia,59 years,Number,2011,Total,56110,
Croatia,59 years,Number,2011,Males,27538,
Croatia,59 years,Number,2011,Females,28572,
Croatia,60 years,Number,2011,Total,58463,
Croatia,60 years,Number,2011,Males,28216,
Croatia,60 years,Number,2011,Females,30247,
Croatia,61 years,Number,2011,Total,58280,
Croatia,61 years,Number,2011,Males,27695,
Croatia,61 years,Number,2011,Females,30585,
Croatia,62 years,Number,2011,Total,53614,
Croatia,62 years,Number,2011,Males,24805,
Croatia,62 years,Number,2011,Females,28809,
Croatia,63 years,Number,2011,Total,50636,
Croatia,63 years,Number,2011,Males,23511,
Croatia,63 years,Number,2011,Females,27125,
Croatia,64 years,Number,2011,Total,51747,
Croatia,64 years,Number,2011,Males,23624,
Croatia,64 years,Number,2011,Females,28123,
Croatia,65 years,Number,2011,Total,35028,
Croatia,65 years,Number,2011,Males,15780,
Croatia,65 years,Number,2011,Females,19248,
Croatia,66 years,Number,2011,Total,37640,
Croatia,66 years,Number,2011,Males,16856,
Croatia,66 years,Number,2011,Females,20784,
Croatia,67 years,Number,2011,Total,41100,
Croatia,67 years,Number,2011,Males,18135,
Croatia,67 years,Number,2011,Females,22965,
Croatia,68 years,Number,2011,Total,43969,
Croatia,68 years,Number,2011,Males,19363,
Croatia,68 years,Number,2011,Females,24606,
