  Zagrebaèka županija,3060
  Krapinsko-zagorska županija,1229
  Sisaèko-moslavaèka županija,4468
  Karlovaèka županija,3626
  Varaždinska županija,1262
  Koprivnièko-križevaèka županija,1748
  Bjelovarsko-bilogorska županija,2640
  Primorsko-goranska županija,3588
  Lièko-senjska županija,5353
  Virovitièko-podravska županija,2024
  Požeško-slavonska županija,1823
  Brodsko-posavska županija,2030
  Zadarska županija,3646
  Osjeèko-baranjska županija,4155
  Šibensko-kninska županija,2984
  Vukovarsko-srijemska županija,2454
  Splitsko-dalmatinska županija,4540
  Istarska županija,2813
  Dubrovaèko-neretvanska županija,1781
  Meðimurska županija,729
  Grad Zagreb,641
