Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Croatia,1991,Total,4540641,2185030,2355611,100,100,100,"92,8"
Croatia,1991,0-4,273009,139515,133494,6,"6,4","5,7","104,5"
Croatia,1991,5-9,309224,158294,150930,"6,8","7,2","6,4","104,9"
Croatia,1991,10-14,326478,166563,159915,"7,2","7,6","6,8","104,2"
Croatia,1991,15-19,313293,159629,153664,"6,9","7,3","6,5","103,9"
Croatia,1991,20-24,298607,151095,147512,"6,6","6,9","6,3","102,4"
Croatia,1991,25-29,324962,163187,161775,"7,2","7,5","6,9","100,9"
Croatia,1991,30-34,354552,178400,176152,"7,8","8,2","7,5","101,3"
Croatia,1991,35-39,369880,188968,180912,"8,1","8,6","7,7","104,5"
Croatia,1991,40-44,333953,172846,161107,"7,4","7,9","6,8","107,3"
Croatia,1991,45-49,232378,115387,116991,"5,1","5,3",5,"98,6"
Croatia,1991,50-54,280994,134911,146083,"6,2","6,2","6,2","92,4"
Croatia,1991,55-59,294436,137658,156778,"6,5","6,3","6,7","87,8"
Croatia,1991,60-64,271234,120925,150309,6,"5,5","6,4","80,5"
Croatia,1991,65-69,217773,81646,136127,"4,8","3,7","5,8",60
Croatia,1991,70-74,124195,44460,79735,"2,7",2,"3,4","55,8"
Croatia,1991,75-79,107011,37329,69682,"2,4","1,7",3,"53,6"
Croatia,1991,80-84,73997,24381,49616,"1,6","1,1","2,1","49,1"
Croatia,1991,85-89,29947,8575,21372,"0,7","0,4","0,9","40,1"
Croatia,1991,90-94,4441,1194,3247,"0,1","0,1","0,1","36,8"
Croatia,1991,95-99,271,66,205,0,0,0,"32,2"
Croatia,1991,100+,6,1,5,0,0,0,20
Croatia,1992,Total,4490682,2162937,2327745,100,100,100,"92,9"
Croatia,1992,0-4,263015,134637,128378,"5,9","6,2","5,5","104,9"
Croatia,1992,5-9,297645,152309,145336,"6,6",7,"6,2","104,8"
Croatia,1992,10-14,322335,164687,157648,"7,2","7,6","6,8","104,5"
Croatia,1992,15-19,309799,157650,152149,"6,9","7,3","6,5","103,6"
Croatia,1992,20-24,292686,148546,144140,"6,5","6,9","6,2","103,1"
Croatia,1992,25-29,316801,159344,157457,"7,1","7,4","6,8","101,2"
Croatia,1992,30-34,344557,173348,171209,"7,7",8,"7,4","101,2"
Croatia,1992,35-39,370133,188627,181506,"8,2","8,7","7,8","103,9"
Croatia,1992,40-44,337890,175092,162798,"7,5","8,1",7,"107,6"
Croatia,1992,45-49,238849,120018,118831,"5,3","5,5","5,1",101
Croatia,1992,50-54,270743,130473,140270,6,6,6,93
Croatia,1992,55-59,288904,135148,153756,"6,4","6,2","6,6","87,9"
Croatia,1992,60-64,272964,122838,150126,"6,1","5,7","6,4","81,8"
Croatia,1992,65-69,218503,83461,135042,"4,9","3,9","5,8","61,8"
Croatia,1992,70-74,143463,50585,92878,"3,2","2,3",4,"54,5"
Croatia,1992,75-79,91828,31634,60194,2,"1,5","2,6","52,6"
Croatia,1992,80-84,74228,24241,49987,"1,7","1,1","2,1","48,5"
Croatia,1992,85-89,30804,8828,21976,"0,7","0,4","0,9","40,2"
Croatia,1992,90-94,5186,1385,3801,"0,1","0,1","0,2","36,4"
Croatia,1992,95-99,340,84,256,0,0,0,"32,8"
Croatia,1992,100+,9,2,7,0,0,0,"28,6"
Croatia,1993,Total,4478370,2156395,2321975,100,100,100,"92,9"
