Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Croatia,1991,Total,4540641,2185030,2355611,100,100,100,"92,8"
Croatia,1991,0,52903,27030,25873,"1,2","1,2","1,1","104,5"
Croatia,1991,1,53414,27313,26101,"1,2","1,3","1,1","104,6"
Croatia,1991,2,54073,27653,26420,"1,2","1,3","1,1","104,7"
Croatia,1991,3,55976,28585,27391,"1,2","1,3","1,2","104,4"
Croatia,1991,4,56643,28934,27709,"1,2","1,3","1,2","104,4"
Croatia,1991,5,58364,29857,28507,"1,3","1,4","1,2","104,7"
Croatia,1991,6,61467,31474,29993,"1,4","1,4","1,3","104,9"
Croatia,1991,7,62392,31912,30480,"1,4","1,5","1,3","104,7"
Croatia,1991,8,63045,32286,30759,"1,4","1,5","1,3",105
Croatia,1991,9,63956,32765,31191,"1,4","1,5","1,3",105
Croatia,1991,10,65441,33455,31986,"1,4","1,5","1,4","104,6"
Croatia,1991,11,66646,34146,32500,"1,5","1,6","1,4","105,1"
Croatia,1991,12,65833,33549,32284,"1,4","1,5","1,4","103,9"
Croatia,1991,13,65025,33115,31910,"1,4","1,5","1,4","103,8"
Croatia,1991,14,63533,32298,31235,"1,4","1,5","1,3","103,4"
Croatia,1991,15,63326,32248,31078,"1,4","1,5","1,3","103,8"
Croatia,1991,16,63242,32315,30927,"1,4","1,5","1,3","104,5"
Croatia,1991,17,62512,31753,30759,"1,4","1,5","1,3","103,2"
Croatia,1991,18,62283,31706,30577,"1,4","1,5","1,3","103,7"
Croatia,1991,19,61930,31607,30323,"1,4","1,4","1,3","104,2"
Croatia,1991,20,58678,29869,28809,"1,3","1,4","1,2","103,7"
Croatia,1991,21,57811,29337,28474,"1,3","1,3","1,2",103
Croatia,1991,22,58382,29554,28828,"1,3","1,4","1,2","102,5"
Croatia,1991,23,60478,30554,29924,"1,3","1,4","1,3","102,1"
Croatia,1991,24,63258,31781,31477,"1,4","1,5","1,3",101
Croatia,1991,25,65077,32677,32400,"1,4","1,5","1,4","100,9"
Croatia,1991,26,63414,31857,31557,"1,4","1,5","1,3",101
Croatia,1991,27,63530,31992,31538,"1,4","1,5","1,3","101,4"
Croatia,1991,28,65457,32858,32599,"1,4","1,5","1,4","100,8"
Croatia,1991,29,67484,33803,33681,"1,5","1,5","1,4","100,4"
Croatia,1991,30,68694,34409,34285,"1,5","1,6","1,5","100,4"
Croatia,1991,31,70413,35495,34918,"1,6","1,6","1,5","101,7"
Croatia,1991,32,70825,35653,35172,"1,6","1,6","1,5","101,4"
Croatia,1991,33,71078,35765,35313,"1,6","1,6","1,5","101,3"
Croatia,1991,34,73542,37078,36464,"1,6","1,7","1,5","101,7"
Croatia,1991,35,75135,38077,37058,"1,7","1,7","1,6","102,7"
Croatia,1991,36,76598,39150,37448,"1,7","1,8","1,6","104,5"
Croatia,1991,37,73463,37651,35812,"1,6","1,7","1,5","105,1"
Croatia,1991,38,75291,38397,36894,"1,7","1,8","1,6","104,1"
Croatia,1991,39,69393,35693,33700,"1,5","1,6","1,4","105,9"
