Izborna jedinica,HDZ,SDP,MOST,Živi zid,Bandić,Pametno,HDSSB,IDS,Ukupno
1,62310,77541,20520,11603,8488,9526,,,196963
2,69224,68603,16776,13590,18011,2592,,,194774
3,43786,93164,10507,11767,8349,1838,,,177245
4,60380,46694,13346,11311,2519,1684,15540,,157797
5,77278,41382,15591,8962,5141,1090,8033,,164029
6,59653,58746,15763,11200,12899,3361,,,170017
7,76049,76786,19723,18418,10413,5238,,2455,216392
8,35753,63890,11588,13669,2261,2891,,40725,178659
9,102768,49843,26358,8620,4781,2529,,,207117
10,95486,59953,36454,8068,3192,8063,,,219324
