PassengerId,Parch,Pclass,SibSp,Survived,new_age,known_people,mother,family_survived,fare_per_person,Embarked_C,Embarked_Q,Embarked_S,title_Master,title_Miss,title_Mr,title_Mrs,title_Officer,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_u
1,0,3,1,0.0,22.0,2,0,0,7.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,1,1.0,38.0,2,0,0,35.64165,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3,0,3,0,1.0,26.0,0,0,-1,7.925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4,0,1,1,1.0,35.0,2,0,0,26.55,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
5,0,3,0,0.0,35.0,0,0,-1,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0,3,0,0.0,29.0,0,0,-1,8.4583,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7,0,1,0,0.0,54.0,1,0,0,25.93125,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
8,1,3,3,0.0,2.0,3,0,0,4.215,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9,2,3,0,1.0,27.0,2,1,1,3.7111,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
10,0,2,1,1.0,14.0,2,0,0,15.0354,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11,1,3,1,1.0,4.0,2,0,1,5.566666666666666,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
12,0,1,0,1.0,58.0,0,0,-1,26.55,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
13,0,3,0,0.0,20.0,0,0,-1,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
14,5,3,1,0.0,39.0,3,0,1,4.4678571428571425,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
15,0,3,0,0.0,14.0,0,0,-1,7.8542,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
