"TIME","GEO","UNIT","AGE","Value"
"2005","Belgium","Number","Less than 15 years","37"
"2005","Belgium","Number","From 15 to 17 years","31"
"2005","Belgium","Number","From 18 to 24 years","196"
"2005","Belgium","Number","From 25 to 49 years","473"
"2005","Belgium","Number","From 50 to 64 years","160"
"2005","Belgium","Number","65 years or over","186"
"2005","Bulgaria","Number","Less than 15 years",":"
"2005","Bulgaria","Number","From 15 to 17 years",":"
"2005","Bulgaria","Number","From 18 to 24 years",":"
"2005","Bulgaria","Number","From 25 to 49 years",":"
"2005","Bulgaria","Number","From 50 to 64 years",":"
"2005","Bulgaria","Number","65 years or over",":"
"2005","Czech Republic","Number","Less than 15 years","41"
"2005","Czech Republic","Number","From 15 to 17 years","31"
"2005","Czech Republic","Number","From 18 to 24 years","223"
"2005","Czech Republic","Number","From 25 to 49 years","520"
"2005","Czech Republic","Number","From 50 to 64 years","264"
"2005","Czech Republic","Number","65 years or over","202"
"2005","Denmark","Number","Less than 15 years","13"
"2005","Denmark","Number","From 15 to 17 years","20"
"2005","Denmark","Number","From 18 to 24 years","52"
"2005","Denmark","Number","From 25 to 49 years","124"
"2005","Denmark","Number","From 50 to 64 years","52"
"2005","Denmark","Number","65 years or over","70"
"2005","Germany (until 1990 former territory of the FRG)","Number","Less than 15 years","159"
"2005","Germany (until 1990 former territory of the FRG)","Number","From 15 to 17 years","224"
"2005","Germany (until 1990 former territory of the FRG)","Number","From 18 to 24 years","1,076"
"2005","Germany (until 1990 former territory of the FRG)","Number","From 25 to 49 years","1,930"
"2005","Germany (until 1990 former territory of the FRG)","Number","From 50 to 64 years","804"
"2005","Germany (until 1990 former territory of the FRG)","Number","65 years or over","1,162"
"2005","Estonia","Number","Less than 15 years","12"
"2005","Estonia","Number","From 15 to 17 years","5"
"2005","Estonia","Number","From 18 to 24 years","26"
"2005","Estonia","Number","From 25 to 49 years","73"
"2005","Estonia","Number","From 50 to 64 years","32"
"2005","Estonia","Number","65 years or over","21"
"2005","Ireland","Number","Less than 15 years","9"
"2005","Ireland","Number","From 15 to 17 years","26"
"2005","Ireland","Number","From 18 to 24 years","110"
"2005","Ireland","Number","From 25 to 49 years","139"
"2005","Ireland","Number","From 50 to 64 years","47"
"2005","Ireland","Number","65 years or over","56"
"2005","Greece","Number","Less than 15 years","44"
"2005","Greece","Number","From 15 to 17 years","38"
"2005","Greece","Number","From 18 to 24 years","326"
"2005","Greece","Number","From 25 to 49 years","687"
"2005","Greece","Number","From 50 to 64 years","219"
"2005","Greece","Number","65 years or over","322"
"2005","Spain","Number","Less than 15 years","120"
"2005","Spain","Number","From 15 to 17 years","138"
"2005","Spain","Number","From 18 to 24 years","733"
"2005","Spain","Number","From 25 to 49 years","1,967"
"2005","Spain","Number","From 50 to 64 years","688"
"2005","Spain","Number","65 years or over","719"
"2005","France","Number","Less than 15 years","130"
"2005","France","Number","From 15 to 17 years","218"
"2005","France","Number","From 18 to 24 years","1,206"
"2005","France","Number","From 25 to 49 years","2,032"
"2005","France","Number","From 50 to 64 years","698"
"2005","France","Number","65 years or over","1,014"
"2005","Croatia","Number","Less than 15 years",":"
"2005","Croatia","Number","From 15 to 17 years",":"
"2005","Croatia","Number","From 18 to 24 years",":"
"2005","Croatia","Number","From 25 to 49 years",":"
"2005","Croatia","Number","From 50 to 64 years",":"
"2005","Croatia","Number","65 years or over",":"
"2005","Italy","Number","Less than 15 years","131"
"2005","Italy","Number","From 15 to 17 years","211"
"2005","Italy","Number","From 18 to 24 years","919"
"2005","Italy","Number","From 25 to 49 years","2,284"
"2005","Italy","Number","From 50 to 64 years","783"
"2005","Italy","Number","65 years or over","1,199"
"2005","Cyprus","Number","Less than 15 years","5"
"2005","Cyprus","Number","From 15 to 17 years","4"
"2005","Cyprus","Number","From 18 to 24 years","32"
"2005","Cyprus","Number","From 25 to 49 years","37"
"2005","Cyprus","Number","From 50 to 64 years","5"
"2005","Cyprus","Number","65 years or over","12"
"2005","Latvia","Number","Less than 15 years","10"
"2005","Latvia","Number","From 15 to 17 years","12"
"2005","Latvia","Number","From 18 to 24 years","63"
"2005","Latvia","Number","From 25 to 49 years","187"
"2005","Latvia","Number","From 50 to 64 years","76"
"2005","Latvia","Number","65 years or over","65"
"2005","Lithuania","Number","Less than 15 years",":"
"2005","Lithuania","Number","From 15 to 17 years",":"
"2005","Lithuania","Number","From 18 to 24 years",":"
"2005","Lithuania","Number","From 25 to 49 years",":"
"2005","Lithuania","Number","From 50 to 64 years",":"
"2005","Lithuania","Number","65 years or over",":"
"2005","Luxembourg","Number","Less than 15 years","4"
"2005","Luxembourg","Number","From 15 to 17 years","1"
"2005","Luxembourg","Number","From 18 to 24 years","9"
"2005","Luxembourg","Number","From 25 to 49 years","21"
"2005","Luxembourg","Number","From 50 to 64 years","4"
"2005","Luxembourg","Number","65 years or over","8"
"2005","Hungary","Number","Less than 15 years","34"
"2005","Hungary","Number","From 15 to 17 years","26"
"2005","Hungary","Number","From 18 to 24 years","159"
"2005","Hungary","Number","From 25 to 49 years","557"
"2005","Hungary","Number","From 50 to 64 years","286"
"2005","Hungary","Number","65 years or over","206"
"2005","Malta","Number","Less than 15 years","3"
"2005","Malta","Number","From 15 to 17 years","3"
"2005","Malta","Number","From 18 to 24 years","5"
"2005","Malta","Number","From 25 to 49 years","3"
"2005","Malta","Number","From 50 to 64 years","0"
"2005","Malta","Number","65 years or over","3"
"2005","Netherlands","Number","Less than 15 years","31"
"2005","Netherlands","Number","From 15 to 17 years","33"
"2005","Netherlands","Number","From 18 to 24 years","122"
"2005","Netherlands","Number","From 25 to 49 years","261"
"2005","Netherlands","Number","From 50 to 64 years","115"
"2005","Netherlands","Number","65 years or over","188"
"2005","Austria","Number","Less than 15 years","25"
