"TIME","GEO","UNIT","TRA_INFR","Value"
"2005","Belgium","Number","Motorways","161"
"2005","Belgium","Number","Urban roads","255"
"2005","Belgium","Number","Rural roads","673"
"2005","Bulgaria","Number","Motorways",":"
"2005","Bulgaria","Number","Urban roads",":"
"2005","Bulgaria","Number","Rural roads",":"
"2005","Czech Republic","Number","Motorways","45"
"2005","Czech Republic","Number","Urban roads","503"
"2005","Czech Republic","Number","Rural roads","738"
"2005","Denmark","Number","Motorways","31"
"2005","Denmark","Number","Urban roads","95"
"2005","Denmark","Number","Rural roads","205"
"2005","Germany (until 1990 former territory of the FRG)","Number","Motorways","662"
"2005","Germany (until 1990 former territory of the FRG)","Number","Urban roads","1,471"
"2005","Germany (until 1990 former territory of the FRG)","Number","Rural roads","3,228"
"2005","Estonia","Number","Motorways","0"
"2005","Estonia","Number","Urban roads","46"
"2005","Estonia","Number","Rural roads","124"
"2005","Ireland","Number","Motorways","2"
"2005","Ireland","Number","Urban roads","80"
"2005","Ireland","Number","Rural roads","318"
"2005","Greece","Number","Motorways","111"
"2005","Greece","Number","Urban roads","758"
"2005","Greece","Number","Rural roads","789"
"2005","Spain","Number","Motorways","851"
"2005","Spain","Number","Urban roads","790"
"2005","Spain","Number","Rural roads","2,801"
"2005","France","Number","Motorways","323"
"2005","France","Number","Urban roads","1,664"
"2005","France","Number","Rural roads","3,331"
"2005","Croatia","Number","Motorways",":"
"2005","Croatia","Number","Urban roads",":"
"2005","Croatia","Number","Rural roads",":"
"2005","Italy","Number","Motorways","577"
"2005","Italy","Number","Urban roads","2,588"
"2005","Italy","Number","Rural roads","2,653"
"2005","Cyprus","Number","Motorways","13"
"2005","Cyprus","Number","Urban roads","61"
"2005","Cyprus","Number","Rural roads","28"
"2005","Latvia","Number","Motorways","0"
"2005","Latvia","Number","Urban roads","125"
"2005","Latvia","Number","Rural roads","317"
"2005","Lithuania","Number","Motorways",":"
"2005","Lithuania","Number","Urban roads",":"
"2005","Lithuania","Number","Rural roads",":"
"2005","Luxembourg","Number","Motorways","4"
"2005","Luxembourg","Number","Urban roads","13"
"2005","Luxembourg","Number","Rural roads","30"
"2005","Hungary","Number","Motorways","47"
"2005","Hungary","Number","Urban roads","502"
"2005","Hungary","Number","Rural roads","729"
"2005","Malta","Number","Motorways","0"
"2005","Malta","Number","Urban roads","17"
"2005","Malta","Number","Rural roads","0"
"2005","Netherlands","Number","Motorways","0"
"2005","Netherlands","Number","Urban roads","254"
"2005","Netherlands","Number","Rural roads","485"
"2005","Austria","Number","Motorways","89"
"2005","Austria","Number","Urban roads","202"
"2005","Austria","Number","Rural roads","477"
"2005","Poland","Number","Motorways","32"
"2005","Poland","Number","Urban roads","2,495"
"2005","Poland","Number","Rural roads","2,917"
"2005","Portugal","Number","Motorways","98"
"2005","Portugal","Number","Urban roads","537"
"2005","Portugal","Number","Rural roads","612"
"2005","Romania","Number","Motorways","20"
"2005","Romania","Number","Urban roads","1,895"
"2005","Romania","Number","Rural roads","714"
"2005","Slovenia","Number","Motorways","20"
"2005","Slovenia","Number","Urban roads","81"
"2005","Slovenia","Number","Rural roads","157"
"2005","Slovakia","Number","Motorways","21"
"2005","Slovakia","Number","Urban roads","277"
"2005","Slovakia","Number","Rural roads","308"
"2005","Finland","Number","Motorways","10"
"2005","Finland","Number","Urban roads","101"
"2005","Finland","Number","Rural roads","268"
"2005","Sweden","Number","Motorways","20"
"2005","Sweden","Number","Urban roads","110"
"2005","Sweden","Number","Rural roads","310"
"2005","United Kingdom","Number","Motorways","203"
"2005","United Kingdom","Number","Urban roads","1,302"
"2005","United Kingdom","Number","Rural roads","1,831"
"2005","Iceland","Number","Motorways","0"
"2005","Iceland","Number","Urban roads","3"
"2005","Iceland","Number","Rural roads","16"
"2005","Liechtenstein","Number","Motorways",":"
"2005","Liechtenstein","Number","Urban roads",":"
"2005","Liechtenstein","Number","Rural roads",":"
"2005","Norway","Number","Motorways",":"
"2005","Norway","Number","Urban roads",":"
"2005","Norway","Number","Rural roads",":"
"2005","Switzerland","Number","Motorways","25"
"2005","Switzerland","Number","Urban roads","137"
"2005","Switzerland","Number","Rural roads","247"
"2006","Belgium","Number","Motorways","164"
"2006","Belgium","Number","Urban roads","265"
"2006","Belgium","Number","Rural roads","640"
"2006","Bulgaria","Number","Motorways",":"
"2006","Bulgaria","Number","Urban roads",":"
"2006","Bulgaria","Number","Rural roads",":"
"2006","Czech Republic","Number","Motorways","37"
"2006","Czech Republic","Number","Urban roads","427"
"2006","Czech Republic","Number","Rural roads","599"
"2006","Denmark","Number","Motorways","16"
"2006","Denmark","Number","Urban roads","101"
"2006","Denmark","Number","Rural roads","189"
"2006","Germany (until 1990 former territory of the FRG)","Number","Motorways","645"
"2006","Germany (until 1990 former territory of the FRG)","Number","Urban roads","1,384"
"2006","Germany (until 1990 former territory of the FRG)","Number","Rural roads","3,062"
"2006","Estonia","Number","Motorways","0"
"2006","Estonia","Number","Urban roads","46"
"2006","Estonia","Number","Rural roads","158"
"2006","Ireland","Number","Motorways","11"
"2006","Ireland","Number","Urban roads","62"
"2006","Ireland","Number","Rural roads","292"
"2006","Greece","Number","Motorways","147"
"2006","Greece","Number","Urban roads","774"
"2006","Greece","Number","Rural roads","736"
"2006","Spain","Number","Motorways","767"
"2006","Spain","Number","Urban roads","736"
"2006","Spain","Number","Rural roads","2,600"
"2006","France","Number","Motorways","292"
"2006","France","Number","Urban roads","1,346"
"2006","France","Number","Rural roads","3,071"
"2006","Croatia","Number","Motorways",":"
"2006","Croatia","Number","Urban roads",":"
"2006","Croatia","Number","Rural roads",":"
"2006","Italy","Number","Motorways","590"
"2006","Italy","Number","Urban roads","2,494"
"2006","Italy","Number","Rural roads","2,585"
"2006","Cyprus","Number","Motorways","9"
"2006","Cyprus","Number","Urban roads","53"
"2006","Cyprus","Number","Rural roads","24"
"2006","Latvia","Number","Motorways","0"
"2006","Latvia","Number","Urban roads","148"
"2006","Latvia","Number","Rural roads","259"
"2006","Lithuania","Number","Motorways",":"
"2006","Lithuania","Number","Urban roads",":"
"2006","Lithuania","Number","Rural roads",":"
"2006","Luxembourg","Number","Motorways","6"
"2006","Luxembourg","Number","Urban roads","8"
"2006","Luxembourg","Number","Rural roads","26"
"2006","Hungary","Number","Motorways","55"
"2006","Hungary","Number","Urban roads","508"
"2006","Hungary","Number","Rural roads","740"
"2006","Malta","Number","Motorways","0"
"2006","Malta","Number","Urban roads","11"
"2006","Malta","Number","Rural roads","0"
"2006","Netherlands","Number","Motorways","0"
"2006","Netherlands","Number","Urban roads","283"
"2006","Netherlands","Number","Rural roads","447"
"2006","Austria","Number","Motorways","74"
"2006","Austria","Number","Urban roads","200"
"2006","Austria","Number","Rural roads","456"
"2006","Poland","Number","Motorways","55"
"2006","Poland","Number","Urban roads","2,349"
"2006","Poland","Number","Rural roads","2,839"
"2006","Portugal","Number","Motorways","84"
"2006","Portugal","Number","Urban roads","448"
"2006","Portugal","Number","Rural roads","437"
"2006","Romania","Number","Motorways","46"
"2006","Romania","Number","Urban roads","1,638"
"2006","Romania","Number","Rural roads","903"
"2006","Slovenia","Number","Motorways","33"
"2006","Slovenia","Number","Urban roads","92"
"2006","Slovenia","Number","Rural roads","137"
"2006","Slovakia","Number","Motorways","15"
"2006","Slovakia","Number","Urban roads","291"
"2006","Slovakia","Number","Rural roads","308"
"2006","Finland","Number","Motorways","17"
"2006","Finland","Number","Urban roads","93"
"2006","Finland","Number","Rural roads","226"
