"TIME","GEO","UNIT","SEX","Value"
"2005","Belgium","Number","Total","1,089"
"2005","Belgium","Number","Males","823"
"2005","Belgium","Number","Females","260"
"2005","Bulgaria","Number","Total","957"
"2005","Bulgaria","Number","Males",":"
"2005","Bulgaria","Number","Females",":"
"2005","Czech Republic","Number","Total","1,286"
"2005","Czech Republic","Number","Males","988"
"2005","Czech Republic","Number","Females","298"
"2005","Denmark","Number","Total","331"
"2005","Denmark","Number","Males","251"
"2005","Denmark","Number","Females","80"
"2005","Germany (until 1990 former territory of the FRG)","Number","Total","5,361"
"2005","Germany (until 1990 former territory of the FRG)","Number","Males","3,913"
"2005","Germany (until 1990 former territory of the FRG)","Number","Females","1,445"
"2005","Estonia","Number","Total","170"
"2005","Estonia","Number","Males","126"
"2005","Estonia","Number","Females","42"
"2005","Ireland","Number","Total","400"
"2005","Ireland","Number","Males","286"
"2005","Ireland","Number","Females","102"
"2005","Greece","Number","Total","1,658"
"2005","Greece","Number","Males","1,296"
"2005","Greece","Number","Females","355"
"2005","Spain","Number","Total","4,442"
"2005","Spain","Number","Males","3,446"
"2005","Spain","Number","Females","958"
"2005","France","Number","Total","5,318"
"2005","France","Number","Males","4,004"
"2005","France","Number","Females","1,314"
"2005","Croatia","Number","Total",":"
"2005","Croatia","Number","Males",":"
"2005","Croatia","Number","Females",":"
"2005","Italy","Number","Total","5,818"
"2005","Italy","Number","Males","4,575"
"2005","Italy","Number","Females","1,243"
"2005","Cyprus","Number","Total","102"
"2005","Cyprus","Number","Males","83"
"2005","Cyprus","Number","Females","19"
"2005","Latvia","Number","Total","442"
"2005","Latvia","Number","Males","324"
"2005","Latvia","Number","Females","118"
"2005","Lithuania","Number","Total","773"
"2005","Lithuania","Number","Males",":"
"2005","Lithuania","Number","Females",":"
"2005","Luxembourg","Number","Total","47"
"2005","Luxembourg","Number","Males","30"
"2005","Luxembourg","Number","Females","17"
"2005","Hungary","Number","Total","1,278"
"2005","Hungary","Number","Males","963"
"2005","Hungary","Number","Females","308"
"2005","Malta","Number","Total","17"
"2005","Malta","Number","Males","13"
"2005","Malta","Number","Females","4"
"2005","Netherlands","Number","Total","750"
"2005","Netherlands","Number","Males","540"
"2005","Netherlands","Number","Females","210"
"2005","Austria","Number","Total","768"
"2005","Austria","Number","Males","573"
"2005","Austria","Number","Females","195"
"2005","Poland","Number","Total","5,444"
"2005","Poland","Number","Males","4,175"
"2005","Poland","Number","Females","1,243"
"2005","Portugal","Number","Total","1,247"
"2005","Portugal","Number","Males","1,005"
"2005","Portugal","Number","Females","233"
"2005","Romania","Number","Total","2,629"
"2005","Romania","Number","Males","1,941"
"2005","Romania","Number","Females","688"
"2005","Slovenia","Number","Total","258"
"2005","Slovenia","Number","Males","187"
"2005","Slovenia","Number","Females","71"
"2005","Slovakia","Number","Total","606"
"2005","Slovakia","Number","Males","462"
"2005","Slovakia","Number","Females","144"
"2005","Finland","Number","Total","379"
"2005","Finland","Number","Males","283"
"2005","Finland","Number","Females","96"
"2005","Sweden","Number","Total","440"
"2005","Sweden","Number","Males","324"
"2005","Sweden","Number","Females","113"
"2005","United Kingdom","Number","Total","3,336"
"2005","United Kingdom","Number","Males","2,520"
"2005","United Kingdom","Number","Females","816"
"2005","Iceland","Number","Total","19"
"2005","Iceland","Number","Males","13"
"2005","Iceland","Number","Females","6"
"2005","Liechtenstein","Number","Total","2"
"2005","Liechtenstein","Number","Males",":"
"2005","Liechtenstein","Number","Females",":"
"2005","Norway","Number","Total","224"
"2005","Norway","Number","Males","156"
"2005","Norway","Number","Females","68"
"2005","Switzerland","Number","Total","409"
"2005","Switzerland","Number","Males","321"
"2005","Switzerland","Number","Females","88"
"2006","Belgium","Number","Total","1,069"
"2006","Belgium","Number","Males","818"
"2006","Belgium","Number","Females","248"
"2006","Bulgaria","Number","Total","1,043"
"2006","Bulgaria","Number","Males",":"
"2006","Bulgaria","Number","Females",":"
"2006","Czech Republic","Number","Total","1,063"
"2006","Czech Republic","Number","Males","838"
"2006","Czech Republic","Number","Females","225"
"2006","Denmark","Number","Total","306"
"2006","Denmark","Number","Males","219"
"2006","Denmark","Number","Females","87"
"2006","Germany (until 1990 former territory of the FRG)","Number","Total","5,091"
"2006","Germany (until 1990 former territory of the FRG)","Number","Males","3,717"
"2006","Germany (until 1990 former territory of the FRG)","Number","Females","1,371"
"2006","Estonia","Number","Total","204"
"2006","Estonia","Number","Males","152"
"2006","Estonia","Number","Females","50"
"2006","Ireland","Number","Total","365"
"2006","Ireland","Number","Males","262"
"2006","Ireland","Number","Females","97"
"2006","Greece","Number","Total","1,657"
"2006","Greece","Number","Males","1,361"
"2006","Greece","Number","Females","290"
"2006","Spain","Number","Total","4,104"
"2006","Spain","Number","Males","3,192"
"2006","Spain","Number","Females","899"
"2006","France","Number","Total","4,709"
"2006","France","Number","Males","3,554"
"2006","France","Number","Females","1,155"
"2006","Croatia","Number","Total",":"
"2006","Croatia","Number","Males",":"
"2006","Croatia","Number","Females",":"
"2006","Italy","Number","Total","5,669"
"2006","Italy","Number","Males","4,392"
