"TIME","GEO","UNIT","ROADUSER","Value"
"2005","Belgium","Number","Driver","808"
"2005","Belgium","Number","Passenger","173"
"2005","Belgium","Number","Pedestrian","108"
"2005","Bulgaria","Number","Driver",":"
"2005","Bulgaria","Number","Passenger",":"
"2005","Bulgaria","Number","Pedestrian",":"
"2005","Czech Republic","Number","Driver","711"
"2005","Czech Republic","Number","Passenger","277"
"2005","Czech Republic","Number","Pedestrian","298"
"2005","Denmark","Number","Driver","233"
"2005","Denmark","Number","Passenger","53"
"2005","Denmark","Number","Pedestrian","44"
"2005","Germany (until 1990 former territory of the FRG)","Number","Driver","3,853"
"2005","Germany (until 1990 former territory of the FRG)","Number","Passenger","822"
"2005","Germany (until 1990 former territory of the FRG)","Number","Pedestrian","686"
"2005","Estonia","Number","Driver","82"
"2005","Estonia","Number","Passenger","36"
"2005","Estonia","Number","Pedestrian","50"
"2005","Ireland","Number","Driver","233"
"2005","Ireland","Number","Passenger","95"
"2005","Ireland","Number","Pedestrian","72"
"2005","Greece","Number","Driver","1,053"
"2005","Greece","Number","Passenger","371"
"2005","Greece","Number","Pedestrian","234"
"2005","Spain","Number","Driver","2,739"
"2005","Spain","Number","Passenger","1,023"
"2005","Spain","Number","Pedestrian","680"
"2005","France","Number","Driver","3,699"
"2005","France","Number","Passenger","984"
"2005","France","Number","Pedestrian","635"
"2005","Croatia","Number","Driver",":"
"2005","Croatia","Number","Passenger",":"
"2005","Croatia","Number","Pedestrian",":"
"2005","Italy","Number","Driver","3,895"
"2005","Italy","Number","Passenger","1,137"
"2005","Italy","Number","Pedestrian","786"
"2005","Cyprus","Number","Driver","59"
"2005","Cyprus","Number","Passenger","20"
"2005","Cyprus","Number","Pedestrian","23"
"2005","Latvia","Number","Driver","163"
"2005","Latvia","Number","Passenger","105"
"2005","Latvia","Number","Pedestrian","174"
"2005","Lithuania","Number","Driver",":"
"2005","Lithuania","Number","Passenger",":"
"2005","Lithuania","Number","Pedestrian",":"
"2005","Luxembourg","Number","Driver","34"
"2005","Luxembourg","Number","Passenger","11"
"2005","Luxembourg","Number","Pedestrian","2"
"2005","Hungary","Number","Driver","697"
"2005","Hungary","Number","Passenger","292"
"2005","Hungary","Number","Pedestrian","289"
"2005","Malta","Number","Driver","5"
"2005","Malta","Number","Passenger","6"
"2005","Malta","Number","Pedestrian","6"
"2005","Netherlands","Number","Driver","565"
"2005","Netherlands","Number","Passenger","102"
"2005","Netherlands","Number","Pedestrian","83"
"2005","Austria","Number","Driver","544"
"2005","Austria","Number","Passenger","127"
"2005","Austria","Number","Pedestrian","97"
"2005","Poland","Number","Driver","2,472"
"2005","Poland","Number","Passenger","1,216"
"2005","Poland","Number","Pedestrian","1,756"
"2005","Portugal","Number","Driver","768"
"2005","Portugal","Number","Passenger","264"
"2005","Portugal","Number","Pedestrian","214"
"2005","Romania","Number","Driver","940"
"2005","Romania","Number","Passenger","709"
"2005","Romania","Number","Pedestrian","978"
"2005","Slovenia","Number","Driver","165"
"2005","Slovenia","Number","Passenger","55"
"2005","Slovenia","Number","Pedestrian","37"
"2005","Slovakia","Number","Driver","287"
"2005","Slovakia","Number","Passenger","145"
"2005","Slovakia","Number","Pedestrian","174"
"2005","Finland","Number","Driver","260"
"2005","Finland","Number","Passenger","74"
"2005","Finland","Number","Pedestrian","45"
"2005","Sweden","Number","Driver","300"
"2005","Sweden","Number","Passenger","88"
"2005","Sweden","Number","Pedestrian","50"
"2005","United Kingdom","Number","Driver","2,002"
"2005","United Kingdom","Number","Passenger","635"
"2005","United Kingdom","Number","Pedestrian","699"
"2005","Iceland","Number","Driver","14"
"2005","Iceland","Number","Passenger","4"
"2005","Iceland","Number","Pedestrian","1"
"2005","Liechtenstein","Number","Driver",":"
"2005","Liechtenstein","Number","Passenger",":"
"2005","Liechtenstein","Number","Pedestrian",":"
"2005","Norway","Number","Driver","140"
"2005","Norway","Number","Passenger","52"
"2005","Norway","Number","Pedestrian","32"
"2005","Switzerland","Number","Driver","275"
"2005","Switzerland","Number","Passenger","65"
"2005","Switzerland","Number","Pedestrian","69"
"2006","Belgium","Number","Driver","805"
"2006","Belgium","Number","Passenger","141"
"2006","Belgium","Number","Pedestrian","122"
"2006","Bulgaria","Number","Driver",":"
"2006","Bulgaria","Number","Passenger",":"
"2006","Bulgaria","Number","Pedestrian",":"
"2006","Czech Republic","Number","Driver","639"
"2006","Czech Republic","Number","Passenger","222"
"2006","Czech Republic","Number","Pedestrian","202"
"2006","Denmark","Number","Driver","200"
"2006","Denmark","Number","Passenger","46"
"2006","Denmark","Number","Pedestrian","60"
"2006","Germany (until 1990 former territory of the FRG)","Number","Driver","3,589"
"2006","Germany (until 1990 former territory of the FRG)","Number","Passenger","791"
"2006","Germany (until 1990 former territory of the FRG)","Number","Pedestrian","711"
"2006","Estonia","Number","Driver","100"
"2006","Estonia","Number","Passenger","36"
"2006","Estonia","Number","Pedestrian","64"
"2006","Ireland","Number","Driver","203"
"2006","Ireland","Number","Passenger","90"
"2006","Ireland","Number","Pedestrian","72"
"2006","Greece","Number","Driver","1,077"
"2006","Greece","Number","Passenger","313"
"2006","Greece","Number","Pedestrian","267"
"2006","Spain","Number","Driver","2,569"
"2006","Spain","Number","Passenger","921"
"2006","Spain","Number","Pedestrian","614"
"2006","France","Number","Driver","3,326"
"2006","France","Number","Passenger","848"
"2006","France","Number","Pedestrian","535"
"2006","Croatia","Number","Driver",":"
"2006","Croatia","Number","Passenger",":"
"2006","Croatia","Number","Pedestrian",":"
"2006","Italy","Number","Driver","3,748"
"2006","Italy","Number","Passenger","1,163"
"2006","Italy","Number","Pedestrian","758"
"2006","Cyprus","Number","Driver","52"
"2006","Cyprus","Number","Passenger","15"
"2006","Cyprus","Number","Pedestrian","19"
"2006","Latvia","Number","Driver","172"
"2006","Latvia","Number","Passenger","82"
"2006","Latvia","Number","Pedestrian","153"
"2006","Lithuania","Number","Driver",":"
"2006","Lithuania","Number","Passenger",":"
"2006","Lithuania","Number","Pedestrian",":"
"2006","Luxembourg","Number","Driver","27"
"2006","Luxembourg","Number","Passenger","6"
"2006","Luxembourg","Number","Pedestrian","10"
"2006","Hungary","Number","Driver","723"
"2006","Hungary","Number","Passenger","284"
"2006","Hungary","Number","Pedestrian","296"
"2006","Malta","Number","Driver","6"
"2006","Malta","Number","Passenger","1"
"2006","Malta","Number","Pedestrian","4"
"2006","Netherlands","Number","Driver","558"
"2006","Netherlands","Number","Passenger","106"
"2006","Netherlands","Number","Pedestrian","66"
"2006","Austria","Number","Driver","501"
"2006","Austria","Number","Passenger","119"
"2006","Austria","Number","Pedestrian","110"
"2006","Poland","Number","Driver","2,294"
"2006","Poland","Number","Passenger","1,147"
"2006","Poland","Number","Pedestrian","1,802"
"2006","Portugal","Number","Driver","628"
"2006","Portugal","Number","Passenger","185"
